global_mesh_x,global_mesh_y,sub_x0,sub_x1,sub_y0,sub_y1,sub_mesh_x,sub_mesh_y,L2_norm,H1_norm,Relative_L2_norm
48,48,0.0,4.0,0.0,4.0,32,32,5.352818137425387e-17,7.489117486680111e-17,6.2514865920991675e-15
48,48,0.0,4.0,0.0,4.0,48,48,8.464608387381874e-17,1.2457602320769338e-16,9.885705899685613e-15
48,48,0.0,4.0,0.0,4.0,64,64,1.3200626585662966e-16,2.432693064561231e-16,1.5416839875539405e-14
48,48,0.0,4.0,0.0,4.0,96,96,4.1249159413236767e-16,5.058111948365935e-16,4.817435608434932e-14
48,48,0.0,4.0,0.0,4.0,128,128,3.0069580309474265e-16,6.465813331060866e-16,3.511787124256142e-14
48,48,0.0,4.0,0.0,4.0,192,192,4.1301070428893173e-16,1.0224582489715727e-15,4.823498228362722e-14
96,96,0.0,4.0,0.0,4.0,3,3,2.8223442408399803e-19,4.643485124719855e-19,1.3179068741317126e-16
96,96,0.0,4.0,0.0,4.0,4,4,2.8142627084397005e-19,4.1141587641119944e-19,1.314133164691976e-16
96,96,0.0,4.0,0.0,4.0,6,6,4.0475606303955027e-19,9.4526380646526e-19,1.8900274109282779e-16
96,96,0.0,4.0,0.0,4.0,8,8,1.570678989513272e-18,2.1994203932032207e-18,7.334359173414348e-16
96,96,0.0,4.0,0.0,4.0,12,12,1.8554956547404597e-18,3.48743725789691e-18,8.664323943617141e-16
96,96,0.0,4.0,0.0,4.0,16,16,3.5881176502621005e-18,5.934804338155282e-18,1.6754883575315975e-15
96,96,0.0,4.0,0.0,4.0,24,24,6.280183088811269e-18,9.771472720462451e-18,2.9325609341994512e-15
96,96,0.0,4.0,0.0,4.0,32,32,1.346412444146635e-17,1.8880994948518528e-17,6.287136026430552e-15
96,96,0.0,4.0,0.0,4.0,48,48,2.1768191192816764e-17,3.1503123478060934e-17,1.0164758924619163e-14
96,96,0.0,4.0,0.0,4.0,64,64,3.3142783256583113e-17,6.092839008043742e-17,1.5476178011760282e-14
96,96,0.0,4.0,0.0,4.0,96,96,1.0334850263427987e-16,1.2669465622900702e-16,4.825906779264532e-14
